InputID,ComputedRoomID,RoomName
0,20010,room_gms_debug_failsafe
1,20011,ROOM_INITIALIZE
2,20012,room_title_placeholder
3,20013,room_battletest
4,20014,room_cutscene_tester
5,20015,room_sound_tester
6,20016,room_sprite_tester
7,20017,room_gif_tester
8,20018,room_bullettest
9,20019,room_teacup_demoauto
10,20020,room_teacup_demobullets
11,20021,room_shaun_puzzle
12,20022,room_GMS2_test
13,20023,room_cutscene_tester_b
14,20024,room_debug_color
15,20025,room_debug_battle
16,20026,room_debug_loc
17,20027,PLACE_CONTACT
18,20028,room_krisroom
19,20029,room_krishallway
20,20030,room_torroom
21,20031,room_torhouse
22,20032,room_torbathroom
23,20033,room_town_krisyard
24,20034,room_town_northwest
25,20035,room_town_north
26,20036,room_beach
27,20037,room_town_mid
28,20038,room_town_apartments
29,20039,room_town_south
30,20040,room_town_school
31,20041,room_town_church
32,20042,room_graveyard
33,20043,room_town_shelter
34,20044,room_hospital_lobby
35,20045,room_hospital_hallway
36,20046,room_hospital_rudy
37,20047,room_hospital_room2
38,20048,room_diner
39,20049,room_townhall
40,20050,room_flowershop_1f
41,20051,room_flowershop_2f
42,20052,room_library
43,20053,room_alphysalley
44,20054,room_lw_computer_lab
45,20055,room_lw_library_upstairs
46,20056,room_lw_police
47,20057,room_lw_conbini
48,20058,room_lw_icee_pizza
49,20059,room_torielclass
50,20060,room_schoollobby
51,20061,room_alphysclass
52,20062,room_schooldoor
53,20063,room_insidecloset
54,20064,room_school_unusedroom
55,20065,room_castle_town
56,20066,room_castle_tutorial
57,20067,room_dw_castle_west_cliff_old
58,20068,room_dw_castle_east_door
59,20069,room_dw_castle_west_cliff
60,20070,room_dw_castle_area_1
61,20071,room_dw_castle_area_2
62,20072,room_dw_castle_area_2_transformed
63,20073,room_dw_ralsei_castle_front
64,20074,room_dw_castle_restaurant
65,20075,room_dw_castle_cafe
66,20076,room_dw_castle_dojo
67,20077,room_dw_ralsei_castle_1f
68,20078,room_dw_ralsei_castle_2f
69,20079,room_dw_castle_dungeon
70,20080,room_dw_castle_rooms_hallway
71,20081,room_dw_castle_rooms_kris
72,20082,room_dw_castle_rooms_susie
73,20083,room_dw_castle_rooms_lancer
74,20084,room_dw_cyber_intro_1
75,20085,room_dw_cyber_intro_connector
76,20086,room_dw_cyber_intro_2
77,20087,room_dw_cyber_rhythm_slide
78,20088,room_dw_cyber_savepoint
79,20089,room_dw_cyber_battle_maze_1
80,20090,room_dw_cyber_music_bullet
81,20091,room_dw_cyber_tasque_battle
82,20092,room_dw_cyber_keyboard_puzzle_1
83,20093,room_dw_cyber_queen_boxing
84,20094,room_dw_cyber_musical_door
85,20095,room_dw_cyber_maze_virokun
86,20096,room_dw_cyber_keyboard_puzzle_2
87,20097,room_dw_cyber_battle_maze_2
88,20098,room_dw_cyber_music_final
89,20099,room_dw_cyber_musical_shop
90,20100,room_dw_cyber_teacup_final
91,20101,room_dw_cyber_rollercoaster
92,20102,room_dw_cyber_maze_fireworks
93,20103,room_dw_cyber_maze_tasque
94,20104,room_dw_cyber_maze_queenscreen
95,20105,room_dw_cyber_viro_ring
96,20106,room_dw_cyber_post_music_boss_slide
97,20107,room_dw_cyber_keyboard_puzzle_3
98,20108,room_dw_cyber_battle_maze_3
99,20109,room_dw_cyber_teacup_2
100,20110,room_dw_cyber_shaunsmusicalbullettunnel
101,20111,room_dw_cyber_maze_rhythm
102,20112,room_dw_cyber_escalator_slide
103,20113,room_dw_cyber_nuberts_treasure
104,20114,room_dw_cyber_music_fight
105,20115,room_dw_cyber_keyboardexample
106,20116,room_dw_city_prototype_01
107,20117,room_dw_city_prototype_02
108,20118,room_dw_city_spamton_shop_exterior
109,20119,room_dw_city_spamton_house
110,20120,room_dw_city_intro
111,20121,room_dw_city_split
112,20122,room_dw_city_entrance
113,20123,room_dw_city_traffic_1
114,20124,room_dw_city_roadblock
115,20125,room_dw_city_hacker
116,20126,room_dw_city_mice
117,20127,room_dw_city_big_1
118,20128,room_dw_city_traffic_2
119,20129,room_dw_city_big_2
120,20130,room_dw_city_queen_drunk
121,20131,room_dw_city_savepoint
122,20132,room_dw_city_big_3
123,20133,room_dw_city_traffic_3
124,20134,room_dw_city_mice2
125,20135,room_dw_city_cheesemaze
126,20136,room_dw_city_mice3
127,20137,room_dw_city_poppup
128,20138,room_dw_city_berdly
129,20139,room_dw_city_traffic_4
130,20140,room_dw_city_spamton_alley
131,20141,room_dw_city_monologue
132,20142,room_dw_city_baseball
133,20143,room_dw_city_postbaseball_1
134,20144,room_dw_city_postbaseball_2
135,20145,room_dw_city_postbaseball_3
136,20146,room_dw_city_mansion_front
137,20147,room_dw_city_susie_ralsei_fun_1
138,20148,room_dw_city_mirrorfriend
139,20149,room_dw_city_treasure
140,20150,room_dw_city_dog_traffic
141,20151,room_dw_city_man
142,20152,room_dw_city_moss
143,20153,room_dw_city_big_3_backup_2exits
144,20154,room_dw_city_traffic_3_2Entrances
145,20155,room_dw_city_cheese
146,20156,room_dw_city_carnival
147,20157,room_dw_city_noelle_fight_intro
148,20158,room_dw_city_spamton_shop_interior
149,20159,room_dw_city_monologue_old
